state,playerid,wagerid,event_start,placed_date,settled_date,sportname,bet_type,result,net_stake,ggr,legresult,decimalodds
State1,22475365.704,1720625.4429375,2021-04-27 19:00:00+00,2021-04-27,2021-04-28,champions league,straight,lost,14.5,14.5,lost,2.8
State1,22475365.704,1720970.3054375,2021-04-27 19:00:00+00,2021-04-27,2021-04-27,champions league,straight,lost,10.0,10.0,lost,11.0
State1,22214042.73,1721428.1654375,2021-04-28 01:45:00+00,2021-04-27,2021-04-27,nba,straight,lost,20.0,20.0,lost,6.0
State1,22237170.912,1723940.5254375,2021-04-27 23:41:00+00,2021-04-27,2021-04-27,nba,straight,lost,10.0,10.0,lost,2.24
State1,822142.728,1724906.1404375,2021-04-27 23:41:00+00,2021-04-27,2021-04-27,mlb,straight,lost,10.0,10.0,lost,2.32
State1,822142.728,1726102.1529375,2021-04-27 23:08:00+00,2021-04-27,2021-04-27,mlb,straight,lost,5.0,5.0,lost,2.1
State1,22247333.46,1727436.1104375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,mlb,straight,lost,10.0,10.0,lost,1.84746
State1,26285974.902,1727515.3554375,2021-04-28 19:00:09+00,2021-04-27,2021-04-28,champions league,straight,lost,8.0,8.0,lost,11.0
State1,22247333.46,1727839.6729375,2021-04-27 23:40:00+00,2021-04-27,2021-04-27,mlb,straight,lost,10.0,10.0,lost,1.84746
State1,22247333.46,1728020.1754375,2021-04-28 00:06:00+00,2021-04-27,2021-04-27,mlb,straight,lost,5.0,5.0,lost,1.87719
State1,22260477.69,1728800.8854375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,1.89286
State1,25492851.846,1729599.2054375,2021-04-27 23:08:00+00,2021-04-27,2021-04-27,mlb,straight,lost,10.0,10.0,lost,1.89286
State1,25492851.846,1729791.4479375,2021-04-27 23:00:00+00,2021-04-27,2021-04-27,nhl,straight,won,20.0,-13.16,won,1.65789
State1,1118492.298,1731380.7504375,2021-04-28 00:06:00+00,2021-04-27,2021-04-27,mlb,straight,lost,10.0,10.0,lost,3.7
State1,1118492.298,1731727.0804375,2021-04-28 00:06:00+00,2021-04-27,2021-04-27,mlb,straight,lost,25.0,25.0,lost,4.3
State1,26285974.902,1732468.1679375,2021-04-27 23:05:00+00,2021-04-27,2021-04-27,mlb,straight,lost,5.0,5.0,lost,3.1
State1,22203242.028,1735269.6254375,2021-04-28 00:11:00+00,2021-04-27,2021-04-27,mlb,straight,lost,50.0,50.0,lost,1.92593
State1,22251963.888,1735724.5504375,2021-04-27 23:00:00+00,2021-04-27,2021-04-27,nhl,straight,won,20.0,-17.24,won,1.86207
State1,22251963.888,1735726.0179375,2021-04-27 23:00:00+00,2021-04-27,2021-04-27,nhl,straight,lost,20.0,20.0,lost,1.9434
State1,22251963.888,1735727.4854375,2021-04-28 00:30:00+00,2021-04-27,2021-04-27,nhl,straight,won,20.0,-15.38,won,1.76923
State1,22251963.888,1735728.9529375,2021-04-28 00:00:00+00,2021-04-27,2021-04-27,nhl,straight,won,20.0,-16.95,won,1.84746
State1,22251963.888,1735730.4204375,2021-04-27 23:00:00+00,2021-04-27,2021-04-27,nhl,straight,won,20.0,-13.16,won,1.65789
State1,22251963.888,1735902.1179375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,mlb,straight,lost,20.0,20.0,lost,2.32
State1,22251963.888,1735938.8054375,2021-04-28 00:11:00+00,2021-04-27,2021-04-27,mlb,straight,lost,20.0,20.0,lost,1.79365
State1,22251963.888,1736042.9979375,2021-04-28 02:11:00+00,2021-04-27,2021-04-27,mlb,parlay,lost,10.0,10.0,lost,1.78125
State1,22251963.888,1736042.9979375,2021-04-28 00:11:00+00,2021-04-27,2021-04-27,mlb,parlay,lost,10.0,10.0,lost,1.79365
State1,22251963.888,1736078.2179375,2021-04-28 01:45:00+00,2021-04-27,2021-04-27,nba,straight,won,20.0,-18.18,won,1.90909
State1,22203242.028,1736292.4729375,2021-04-28 02:11:00+00,2021-04-27,2021-04-28,mlb,straight,won,10.0,-11.2,won,2.12
State1,27030489.354,1736373.1854375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,lost,10.0,10.0,lost,3.9
State1,22247333.46,1736534.6104375,2021-04-27 23:08:00+00,2021-04-27,2021-04-27,mlb,straight,lost,10.0,10.0,lost,1.78125
State1,822142.728,1736810.5004375,2021-04-27 23:15:00+00,2021-04-27,2021-04-27,nba,straight,lost,10.0,10.0,lost,1.90909
State1,26680772.25,1737641.1054375,2021-04-27 22:36:00+00,2021-04-27,2021-04-27,mlb,straight,lost,25.0,25.0,lost,5.3
State1,22251963.888,1737918.4629375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,won,60.0,-54.55,won,1.90909
State1,26680772.25,1737996.2404375,2021-04-27 23:05:00+00,2021-04-27,2021-04-27,mlb,straight,lost,5.0,5.0,lost,3.1
State1,20096207.802,1743351.1479375,2021-04-27 22:11:00+00,2021-04-27,2021-04-27,mlb,straight,lost,11.0,11.0,lost,1.83333
State1,17872471.98,1745454.0754375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,parlay,lost,100.0,100.0,won,1.90909
State1,17872471.98,1745454.0754375,2021-04-28 01:45:00+00,2021-04-27,2021-04-27,nba,parlay,lost,100.0,100.0,lost,1.90909
State1,22824758.286,1747555.5354375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,won,5.0,-4.55,won,1.90909
State1,22824758.286,1748075.0304375,2021-04-27 23:10:00+00,2021-04-27,2021-04-27,nba,straight,won,5.0,-4.55,won,1.90909
State1,16000125.966,1749681.9429375,2021-04-27 23:21:00+00,2021-04-27,2021-04-27,mlb,straight,won,25.0,-87.5,won,4.5
State1,22251963.888,1750669.5704375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,lost,15.0,15.0,lost,1.90909
State1,22251963.888,1750671.0379375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,won,20.0,-16.95,won,1.84746
State1,22251963.888,1750672.5054375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,parlay,lost,5.0,5.0,won,1.84746
State1,22251963.888,1750672.5054375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,parlay,lost,5.0,5.0,lost,1.90909
State1,15850800.108,1752311.7029375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,lost,15.0,15.0,lost,1.87719
State1,22209682.374,1752991.1554375,2021-04-27 23:21:00+00,2021-04-27,2021-04-27,mlb,straight,lost,25.0,25.0,lost,6.0
State1,28133160.66,1755772.0679375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,lost,10.0,10.0,lost,3.05
State1,28133160.66,1756529.2979375,2021-04-27 23:21:00+00,2021-04-27,2021-04-27,mlb,straight,lost,10.0,10.0,lost,2.44
State1,31783490.838,1757753.1929375,2021-04-27 23:10:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,26.0
State1,31783490.838,1757952.7729375,2021-04-27 23:41:00+00,2021-04-27,2021-04-27,nba,straight,won,5.0,-50.0,won,11.0
State1,22728752.046,1760080.6479375,2021-04-27 23:10:00+00,2021-04-27,2021-04-27,nba,straight,lost,4.2,4.2,lost,1.81967
State1,31783490.838,1760786.5154375,2021-04-28 01:45:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,66.0
State1,22728752.046,1761066.8079375,2021-04-27 23:10:00+00,2021-04-27,2021-04-27,nba,straight,won,5.0,1.2,won,6.0
State1,31783490.838,1761278.1279375,2021-04-27 23:10:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,30.0
State1,22728752.046,1761655.2754375,2021-04-27 23:10:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,2.75
State1,31783490.838,1762007.4754375,2021-04-27 23:10:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,45.0
State1,22238902.422,1763811.0329375,2021-04-28 00:11:00+00,2021-04-27,2021-04-27,mlb,straight,lost,20.0,20.0,lost,4.6
State1,22241058.642,1763882.9404375,2021-04-28 01:10:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,1.88496
State1,31783490.838,1764179.3754375,2021-04-27 23:41:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,28.0
State1,31783490.838,1764814.8029375,2021-04-27 23:41:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,41.0
State1,22728752.046,1764854.4254375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,won,10.0,2.15,lost,3.7
State1,22247333.46,1765118.5754375,2021-04-28 01:10:00+00,2021-04-27,2021-04-27,nba,straight,won,35.0,-26.92,won,1.76923
State1,22728752.046,1765445.8279375,2021-04-27 23:10:00+00,2021-04-27,2021-04-27,nba,straight,lost,7.19,7.19,lost,4.0
State1,31783490.838,1765621.9279375,2021-04-27 23:15:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,14.0
State1,22247333.46,1766100.3329375,2021-04-27 23:41:00+00,2021-04-27,2021-04-27,nba,parlay,won,5.0,-4.665,won,1.26667
State1,22247333.46,1766100.3329375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,parlay,won,5.0,-4.665,won,1.52632
State1,31783490.838,1766188.3829375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,38.0
State1,31783490.838,1766295.5104375,2021-04-27 23:10:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,56.0
State1,31783490.838,1766451.0654375,2021-04-27 23:10:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,51.0
State1,22247333.46,1766936.8079375,2021-04-28 02:11:00+00,2021-04-27,2021-04-28,mlb,parlay,lost,25.0,25.0,lost,1.36364
State1,22247333.46,1766936.8079375,2021-04-28 02:11:00+00,2021-04-27,2021-04-28,mlb,parlay,lost,25.0,25.0,won,1.38462
State1,22728752.046,1767099.7004375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,won,7.85,3.98,lost,3.9
